Term	Acronym	Definition
Active Pharmaceutical Ingredient	API	The biologically active component in a pharmaceutical drug.
Adverse Drug Reaction	ADR	Any unintended, harmful reaction to a drug at normal doses.
Antimicrobial Resistance	AMR	The ability of microorganisms to resist the effects of drugs previously effective against them.
ASEAN Common Technical Dossier	ACTD	A regional adaptation of CTD used by ASEAN member states, structured differently but similar in purpose.
ASEAN Member States	AMS	The ten Southeast Asian nations that are part of the ASEAN regional bloc.
ASEAN Pharmaceutical Product Working Group	PPWG	A regional group under ASEAN coordinating pharmaceutical regulatory harmonisation.
Bracketing	–	A stability testing approach where only the extremes of certain variables (e.g., strength) are tested.
Certificate of Pharmaceutical Product	CPP	A WHO-format certificate issued by the exporting country’s NRA, confirming product registration status and GMP compliance.
Common Technical Document	CTD	A standardised dossier format defined by ICH for regulatory submissions, consisting of five modules.
Compassionate Use / Named-Patient Program	–	A pathway allowing unapproved drugs to be given to patients in exceptional circumstances, usually for serious conditions.
Conditional Approval	–	Regulatory approval based on limited clinical data, often granted for serious diseases with unmet needs.
Current Good Manufacturing Practices	cGMP	Regulatory guidelines to ensure products are consistently produced and controlled to quality standards.
Department of Islamic Development Malaysia	JAKIM	The official body responsible for Halal certification in Malaysia.
Electronic Common Technical Document	eCTD	A digital version of the CTD for electronic submission, enabling streamlined regulatory review.
European Medicines Agency	EMA	The EU’s centralised regulatory body for medicinal product assessment and approval.
Indonesia’s National Agency of Drug and Food Control	BPOM	A pivotal regulatory body charged with ensuring the safety, efficacy, and quality of drugs and food products within the Indonesia.
Institute for Food, Drugs, and Cosmetics, Indonesian Ulema Council	LPPOM MUI	The body responsible for Halal certification in Indonesia.
International Council for Harmonisation	ICH	A global body that harmonises pharmaceutical regulations among member states.
Marketing Authorization	MA	Official approval granted by a national regulatory authority to market a pharmaceutical product.
Matrixing	–	A design for stability testing where a subset of samples is tested at each time point.
Mutual Recognition Procedure	MRP	A regulatory process where one country accepts the pharmaceutical assessments or approvals of another.
Pharmaceutical Inspection Co-operation Scheme	PIC/S	An international arrangement between regulatory authorities to harmonise GMP standards and inspections.
Pharmacovigilance	–	The science and activities relating to the detection, assessment, and prevention of adverse effects or drug-related problems.
Prescription symbol	Rx	A common symbol indicating that a product is prescription-only. Some countries require specific placement or format.
Relative Humidity	RH	A measure of moisture in the air; used in defining storage and stability testing conditions.
Risk-Based Review	–	A regulatory approach that prioritises product reviews based on risk (e.g., public health need, product complexity).
WHO Uppsala Monitoring Centre	WHO UMC	The global pharmacovigilance database hosted by WHO in Uppsala, Sweden.
Zone IVa	–	A stability testing zone for hot and humid conditions (30°C/65% RH), recognised by ICH.
Zone IVb	–	A climatic stability testing zone defined by WHO for hot and very humid conditions (30°C/75% RH).
